"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"13309592010497","10669232010497",1995,2,1,100,3176,1,1,263,13,.0004,3,,"",2011-01-12,"10497","",2011-01-12,"10497",3,241.528936,1,0
"13304389010497","10669140010497",1995,2,1,100,7193,3,1,98,17,.0001,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13304390010497","10669140010497",1995,2,1,100,7193,3,1,263,13,.0015,10,,"",2011-01-12,"10497","",2011-01-12,"10497",10,805.096453,1,0
"13309687010497","10669180010497",1995,2,1,100,9005,1,1,263,13,.0076,52,,"",2011-01-12,"10497","",2011-01-12,"10497",52,4186.501556,1,0
"13309688010497","10669180010497",1995,2,1,100,9005,2,1,98,17,.0006,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13309689010497","10669180010497",1995,2,1,100,9005,2,1,263,13,.0041,28,,"",2011-01-12,"10497","",2011-01-12,"10497",28,2254.270068,1,0
"13307793010497","10669289010497",1995,2,1,100,27096,1,1,263,13,.0025,17,,"",2011-01-12,"10497","",2011-01-12,"10497",17,1368.66397,1,0
"13307794010497","10669289010497",1995,2,1,100,27096,2,1,98,17,.0001,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13307795010497","10669289010497",1995,2,1,100,27096,2,1,263,13,.0047,32,,"",2011-01-12,"10497","",2011-01-12,"10497",32,2576.30865,1,0
"13309493010497","10669290010497",1995,2,1,100,29255,1,1,263,13,.0034,23,,"",2011-01-12,"10497","",2011-01-12,"10497",23,1851.721842,1,0
"13309494010497","10669290010497",1995,2,1,100,29255,2,1,263,13,.0013,9,,"",2011-01-12,"10497","",2011-01-12,"10497",9,724.586808,1,0
"13309495010497","10669290010497",1995,2,1,100,29255,3,1,263,13,.0001,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13309496010497","10669290010497",1995,2,1,100,29255,4,1,98,17,.0026,18,,"",2011-01-12,"10497","",2011-01-12,"10497",18,1449.173615,1,0
"13309497010497","10669290010497",1995,2,1,100,29255,4,1,263,13,.0115,78,,"",2011-01-12,"10497","",2011-01-12,"10497",78,6279.752333,1,0
"13309157010497","10669208010497",1995,2,1,100,29407,1,1,42,24,.6064,6,,"",2011-01-12,"10497","",2011-01-12,"10497",6,483.057872,1,0
"13309158010497","10669208010497",1995,2,1,100,29407,1,1,264,24,.1011,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13309159010497","10669208010497",1995,2,1,100,29407,2,1,263,13,.2021,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13309160010497","10669208010497",1995,2,1,100,29407,2,1,264,24,.4042,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13309161010497","10669208010497",1995,2,1,100,29407,4,1,108,21,30,36,,"",2011-01-12,"10497","",2011-01-12,"10497",36,2898.347231,1,0
"13306844010497","10669294010497",1995,2,1,100,32927,1,1,98,17,.0012,8,,"",2011-01-12,"10497","",2011-01-12,"10497",8,644.077162,1,0
"13306845010497","10669294010497",1995,2,1,100,32927,1,1,263,13,.0181,123,,"",2011-01-12,"10497","",2011-01-12,"10497",123,9902.686372,1,0
"13306846010497","10669294010497",1995,2,1,100,32927,2,1,263,13,.0001,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13306847010497","10669294010497",1995,2,1,100,32927,4,1,263,13,.0004,3,,"",2011-01-12,"10497","",2011-01-12,"10497",3,241.528936,1,0
"13307523010497","10669194010497",1995,2,1,100,44771,1,1,263,13,2.6442,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13307524010497","10669194010497",1995,2,1,100,44771,1,1,264,24,25.1197,19,,"",2011-01-12,"10497","",2011-01-12,"10497",19,1529.683261,1,0
"13307525010497","10669194010497",1995,2,1,100,44771,4,1,263,13,.1011,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13307526010497","10669194010497",1995,2,1,100,44771,4,1,264,24,.4042,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13307348010497","10669258010497",1995,2,1,100,46677,1,1,98,17,.0004,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13307349010497","10669258010497",1995,2,1,100,46677,1,1,263,13,.0129,66,,"",2011-01-12,"10497","",2011-01-12,"10497",66,5313.63659,1,0
"13307350010497","10669258010497",1995,2,1,100,46677,2,1,98,17,.001,5,,"",2011-01-12,"10497","",2011-01-12,"10497",5,402.548226,1,0
"13307351010497","10669258010497",1995,2,1,100,46677,2,1,263,13,.0133,68,,"",2011-01-12,"10497","",2011-01-12,"10497",68,5474.65588,1,0
"13307352010497","10669258010497",1995,2,1,100,46677,3,1,263,13,.0025,13,,"",2011-01-12,"10497","",2011-01-12,"10497",13,1046.625389,1,0
"13311017010497","10669258010497",1995,2,1,100,46677,4,2,42,24,2.1851,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13311018010497","10669258010497",1995,2,1,100,46677,4,2,98,17,.5463,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13311019010497","10669258010497",1995,2,1,100,46677,4,2,263,13,2.1851,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13306973010497","10669271010497",1995,2,1,100,50762,2,1,98,17,.0006,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13306974010497","10669271010497",1995,2,1,100,50762,2,1,263,13,.0047,32,,"",2011-01-12,"10497","",2011-01-12,"10497",32,2576.30865,1,0
"13307296010497","10669296010497",1995,2,1,100,55742,2,1,263,13,.0003,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13305518010497","10669219010497",1995,2,1,100,55847,1,1,42,24,8.8199,10,,"",2011-01-12,"10497","",2011-01-12,"10497",10,805.096453,1,0
"13305519010497","10669219010497",1995,2,1,100,55847,1,1,108,21,1.8296,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13305520010497","10669219010497",1995,2,1,100,55847,1,1,264,24,17.6398,20,,"",2011-01-12,"10497","",2011-01-12,"10497",20,1610.192906,1,0
"13305521010497","10669219010497",1995,2,1,100,55847,2,1,42,24,25.3586,17,,"",2011-01-12,"10497","",2011-01-12,"10497",17,1368.66397,1,0
"13305522010497","10669219010497",1995,2,1,100,55847,2,1,108,21,4.6414,3,,"",2011-01-12,"10497","",2011-01-12,"10497",3,241.528936,1,0
"13305523010497","10669219010497",1995,2,1,100,55847,3,1,42,24,.815,5,,"",2011-01-12,"10497","",2011-01-12,"10497",5,402.548226,1,0
"13305524010497","10669219010497",1995,2,1,100,55847,3,1,108,21,.3381,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13305525010497","10669219010497",1995,2,1,100,55847,3,1,264,24,.652,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13305526010497","10669219010497",1995,2,1,100,55847,4,1,42,24,5.3285,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13305527010497","10669219010497",1995,2,1,100,55847,4,1,108,21,19.343,7,,"",2011-01-12,"10497","",2011-01-12,"10497",7,563.567517,1,0
"13305528010497","10669219010497",1995,2,1,100,55847,4,1,264,24,5.3285,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13307853010497","10669275010497",1995,2,1,100,57950,2,1,263,13,.0007,5,,"",2011-01-12,"10497","",2011-01-12,"10497",5,402.548226,1,0
"13307854010497","10669275010497",1995,2,1,100,57950,2,1,264,24,.0001,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13307855010497","10669275010497",1995,2,1,100,57950,3,1,98,17,.0004,3,,"",2011-01-12,"10497","",2011-01-12,"10497",3,241.528936,1,0
"13307856010497","10669275010497",1995,2,1,100,57950,3,1,242,22,.0003,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13307857010497","10669275010497",1995,2,1,100,57950,3,1,263,13,.0009,6,,"",2011-01-12,"10497","",2011-01-12,"10497",6,483.057872,1,0
"13307858010497","10669275010497",1995,2,1,100,57950,4,1,98,17,.0003,2,,"",2011-01-12,"10497","",2011-01-12,"10497",2,161.019291,1,0
"13307859010497","10669275010497",1995,2,1,100,57950,4,1,242,22,.0006,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13307860010497","10669275010497",1995,2,1,100,57950,4,1,263,13,.0006,4,,"",2011-01-12,"10497","",2011-01-12,"10497",4,322.038581,1,0
"13303721010497","10669247010497",1995,2,1,110,1422,1,1,98,17,.0001,1,,"",2011-01-12,"10497","",2011-01-12,"10497",1,80.509645,1,0
"13303722010497","10669247010497",1995,2,1,110,1422,1,1,263,13,.0013,9,,"",2011-01-12,"10497","",2011-01-12,"10497",9,724.586808,1,0
