"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"3520621010690","3520583010690",1985,4,1,3,7,1,1,134,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3520622010690","3520583010690",1985,4,1,3,7,1,1,843,48,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3520623010690","3520583010690",1985,4,1,3,7,2,1,134,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3520676010690","3520660010690",1985,4,1,3,33,1,1,134,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3520677010690","3520660010690",1985,4,1,3,33,2,1,134,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3520678010690","3520660010690",1985,4,1,3,33,3,1,134,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3520679010690","3520660010690",1985,4,1,3,33,4,1,134,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3520897010690","3520880010690",1985,4,1,3,157,4,1,755,48,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3520953010690","3520940010690",1985,4,1,3,188,2,1,460,47,0,,,"",2004-05-28,"10690","",2011-11-23,"20004",1,,1,0
"3520989010690","3520972010690",1985,4,1,3,203,1,1,106,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521042010690","3521024010690",1985,4,1,3,213,2,1,300,48,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521043010690","3521024010690",1985,4,1,3,213,4,1,300,48,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521095010690","3521076010690",1985,4,1,3,236,1,1,300,48,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3521096010690","3521076010690",1985,4,1,3,236,1,1,755,48,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521097010690","3521076010690",1985,4,1,3,236,2,1,755,48,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3521098010690","3521076010690",1985,4,1,3,236,3,1,755,48,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3521099010690","3521076010690",1985,4,1,3,236,4,1,300,48,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521141010690","3521130010690",1985,4,1,3,243,1,1,134,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3521169010690","3521160010690",1985,4,1,3,257,1,1,106,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3521170010690","3521160010690",1985,4,1,3,257,1,1,847,48,0,,,"",2004-05-28,"10690","",2009-08-14,"10690",1,,1,0
"3521255010690","3521210010690",1985,4,1,3,282,1,1,112,24,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3521256010690","3521210010690",1985,4,1,3,282,4,1,843,48,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3521257010690","3521210010690",1985,4,1,3,282,5,1,112,24,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521282010690","3521258010690",1985,4,1,3,283,2,1,134,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3521283010690","3521258010690",1985,4,1,3,283,3,1,134,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3521284010690","3521258010690",1985,4,1,3,283,4,1,800,48,0,,,"",2004-05-28,"10690","",,"",3,,1,0
