"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"55915050010538","55915032010538",2003,9,1,1,112,1,1,531,33,.0002,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915048010538","55915032010538",2003,9,1,1,112,1,1,762,41,.0053,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915052010538","55915032010538",2003,9,1,1,112,2,1,531,33,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915054010538","55915032010538",2003,9,1,1,112,3,1,762,41,.0049,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915056010538","55915032010538",2003,9,1,1,112,4,1,531,33,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55914771010538","55914751010538",2003,9,1,1,373,1,1,316,32,.0007,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55914773010538","55914751010538",2003,9,1,1,373,1,1,391,43,.0007,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55914769010538","55914751010538",2003,9,1,1,373,1,1,541,36,.0098,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
"55914775010538","55914751010538",2003,9,1,1,373,2,1,316,32,.0007,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55914777010538","55914751010538",2003,9,1,1,373,4,1,391,43,.0013,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915170010538","55915154010538",2003,9,1,3,97,1,1,544,36,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915174010538","55915154010538",2003,9,1,3,97,2,1,544,36,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915172010538","55915154010538",2003,9,1,3,97,2,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915295010538","55915277010538",2003,9,1,3,165,1,1,316,32,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915293010538","55915277010538",2003,9,1,3,165,1,1,762,41,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915299010538","55915277010538",2003,9,1,3,165,2,1,318,31,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915297010538","55915277010538",2003,9,1,3,165,2,1,762,41,.0098,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55915307010538","55915277010538",2003,9,1,3,165,3,1,318,31,.0003,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915309010538","55915277010538",2003,9,1,3,165,3,1,403,29,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915301010538","55915277010538",2003,9,1,3,165,3,1,541,36,.0147,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915303010538","55915277010538",2003,9,1,3,165,3,1,762,41,.0147,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915305010538","55915277010538",2003,9,1,3,165,3,1,802,25,.0008,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915311010538","55915277010538",2003,9,1,3,165,4,1,762,41,.0147,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915313010538","55915277010538",2003,9,1,3,165,4,1,972,41,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915453010538","55915431010538",2003,9,1,3,198,3,4,833,26,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915486010538","55915470010538",2003,9,1,3,230,2,1,316,32,.001,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915488010538","55915470010538",2003,9,1,3,230,2,1,531,33,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915490010538","55915470010538",2003,9,1,3,230,2,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915492010538","55915470010538",2003,9,1,3,230,4,1,531,33,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915814010538","55915798010538",2003,9,1,3,365,1,1,531,33,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915816010538","55915798010538",2003,9,1,3,365,1,1,762,41,.0049,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915818010538","55915798010538",2003,9,1,3,365,2,1,318,31,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55915822010538","55915798010538",2003,9,1,3,365,3,1,318,31,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55915824010538","55915798010538",2003,9,1,3,365,3,1,403,29,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915820010538","55915798010538",2003,9,1,3,365,3,1,541,36,.0122,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55915826010538","55915798010538",2003,9,1,3,365,4,1,318,31,.0009,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915828010538","55915798010538",2003,9,1,3,365,4,1,531,33,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915830010538","55915798010538",2003,9,1,3,365,4,1,833,26,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915579010538","55915563010538",2003,9,1,3,518,1,1,541,36,.4061,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55915581010538","55915563010538",2003,9,1,3,518,2,1,762,41,10.1514,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915640010538","55915620010538",2003,9,1,3,563,1,1,316,32,.002,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55915636010538","55915620010538",2003,9,1,3,563,1,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915642010538","55915620010538",2003,9,1,3,563,1,1,802,25,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55915644010538","55915620010538",2003,9,1,3,563,1,1,833,26,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915638010538","55915620010538",2003,9,1,3,563,1,1,837,28,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915650010538","55915620010538",2003,9,1,3,563,2,1,316,32,.002,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55915648010538","55915620010538",2003,9,1,3,563,2,1,372,42,.0007,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55915646010538","55915620010538",2003,9,1,3,563,2,1,407,29,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915652010538","55915620010538",2003,9,1,3,563,2,1,802,25,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915654010538","55915620010538",2003,9,1,3,563,2,1,833,26,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915662010538","55915620010538",2003,9,1,3,563,3,1,316,32,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55915660010538","55915620010538",2003,9,1,3,563,3,1,356,43,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
