"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"65457859010538","60134557010538",2004,10,1,1,48,2,1,316,32,.0049,10,,"",2007-01-29,"10538","",2015-10-23,"489998",10,749.652825,5,1
"65457861010538","60134557010538",2004,10,1,1,48,3,1,653,43,.0039,8,,"",2007-01-29,"10538","",2015-10-23,"489998",8,599.72226,5,1
"65457863010538","60134557010538",2004,10,1,1,48,4,1,316,32,.0029,6,,"",2007-01-29,"10538","",2015-10-23,"489998",6,449.791695,5,1
"65458070010538","60134770010538",2004,10,1,1,132,1,2,316,32,.0419,1,,"",2007-01-29,"10538","",2015-10-23,"489998",1,74.965282,5,1
"65458068010538","60134770010538",2004,10,1,1,132,1,2,611,34,.0223,3,,"",2007-01-29,"10538","",2015-10-23,"489998",3,224.895847,5,1
"65458074010538","60134770010538",2004,10,1,1,132,2,2,316,32,.0067,8,,"",2007-01-29,"10538","",2015-10-23,"489998",8,599.72226,5,1
"65458072010538","60134770010538",2004,10,1,1,132,2,2,611,34,.0013,9,,"",2007-01-29,"10538","",2015-10-23,"489998",9,674.687542,5,1
"65458196010538","60134902010538",2004,10,1,1,202,1,1,316,32,.0009,1,,"",2007-01-29,"10538","",2015-10-23,"489998",1,74.965282,5,1
"65458192010538","60134902010538",2004,10,1,1,202,1,1,591,42,.0087,10,,"",2007-01-29,"10538","",2015-10-23,"489998",10,749.652825,5,1
"65458198010538","60134902010538",2004,10,1,1,202,1,1,693,35,.0003,2,,"",2007-01-29,"10538","",2015-10-23,"489998",2,149.930565,5,1
"65458194010538","60134902010538",2004,10,1,1,202,1,1,762,41,.0044,1,,"",2007-01-29,"10538","",2015-10-23,"489998",1,74.965282,5,1
"65458202010538","60134902010538",2004,10,1,1,202,2,1,410,29,.0008,2,,"",2007-01-29,"10538","",2015-10-23,"489998",2,149.930565,5,1
"65458200010538","60134902010538",2004,10,1,1,202,2,1,591,42,.0054,11,,"",2007-01-29,"10538","",2015-10-23,"489998",11,824.618107,5,1
"65458206010538","60134902010538",2004,10,1,1,202,3,1,491,42,.001,2,,"",2007-01-29,"10538","",2015-10-23,"489998",2,149.930565,5,1
"65458204010538","60134902010538",2004,10,1,1,202,3,1,591,42,.0108,22,,"",2007-01-29,"10538","",2015-10-23,"489998",22,1649.236214,5,1
"65458208010538","60134902010538",2004,10,1,1,202,4,1,653,43,.002,4,,"",2007-01-29,"10538","",2015-10-23,"489998",4,299.86113,5,1
"65457467010538","60134154010538",2004,10,1,1,238,1,1,591,42,.002,3,,"",2007-01-29,"10538","",2015-10-23,"489998",3,224.895847,5,1
"65457465010538","60134154010538",2004,10,1,1,238,1,1,611,34,.0003,3,,"",2007-01-29,"10538","",2015-10-23,"489998",3,224.895847,5,1
"65457469010538","60134154010538",2004,10,1,1,238,2,1,591,42,.0013,2,,"",2007-01-29,"10538","",2015-10-23,"489998",2,149.930565,5,1
