"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"205016077010854","20345024010478",2002,12,1,1,2,1,1,345,43,30,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016079010854","20345024010478",2002,12,1,1,2,2,1,345,43,11.1737,2,,"",2009-12-07,"10854","",2012-06-12,"20004",2,149.930565,8,1
"205016078010854","20345024010478",2002,12,1,1,2,2,1,838,27,18.8263,3,,"",2009-12-07,"10854","",2012-06-12,"20004",3,224.895847,8,1
"205016081010854","20345024010478",2002,12,1,1,2,4,1,121,1,10.4027,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016080010854","20345024010478",2002,12,1,1,2,4,1,345,43,10.2928,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016072010854","20344790010478",2002,12,1,1,5,4,1,922,41,.0001,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016089010854","20345107010478",2002,12,1,1,7,1,1,721,41,10.1514,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016090010854","20345107010478",2002,12,1,1,7,2,1,111,1,7.4261,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016091010854","20345107010478",2002,12,1,1,7,3,1,111,1,22.2782,3,,"",2009-12-07,"10854","",2012-06-12,"20004",3,224.895847,8,1
"205016092010854","20345107010478",2002,12,1,1,7,4,1,111,1,14.8521,2,,"",2009-12-07,"10854","",2012-06-12,"20004",2,149.930565,8,1
"205016053010854","20344583010478",2002,12,1,1,11,2,2,820,28,.0001,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016056010854","20344630010478",2002,12,1,1,19,1,1,820,28,.118,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016055010854","20344630010478",2002,12,1,1,19,1,1,838,27,.118,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016054010854","20344630010478",2002,12,1,1,19,1,1,842,43,.0197,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016057010854","20344630010478",2002,12,1,1,19,2,1,838,27,.0024,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016058010854","20344630010478",2002,12,1,1,19,3,1,838,27,.0393,2,,"",2009-12-07,"10854","",2012-06-12,"20004",2,149.930565,8,1
"205016061010854","20344630010478",2002,12,1,1,19,4,1,820,28,.0787,4,,"",2009-12-07,"10854","",2012-06-12,"20004",4,299.86113,8,1
"205016059010854","20344630010478",2002,12,1,1,19,4,1,838,27,.118,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016060010854","20344630010478",2002,12,1,1,19,4,1,842,43,.0197,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016073010854","20344887010478",2002,12,1,1,30,4,1,111,1,19.8028,2,,"",2009-12-07,"10854","",2012-06-12,"20004",2,149.930565,8,1
"205016083010854","20345040010478",2002,12,1,1,48,1,1,820,28,.0024,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
"205016082010854","20345040010478",2002,12,1,1,48,1,1,827,28,.0004,1,,"",2009-12-07,"10854","",2012-06-12,"20004",1,74.965282,8,1
"205016086010854","20345040010478",2002,12,1,1,48,2,1,820,28,.0024,6,,"",2009-12-07,"10854","",2012-06-12,"20004",6,449.791695,8,1
