"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"65377519010661","65377464010661",1999,19,1,5,20005,1,1,318,31,.0007,5,,"",2004-06-07,"10661","",2014-02-14,"20004",5,374.826412,4,1
"65377520010661","65377464010661",1999,19,1,5,20005,1,1,391,43,.0015,3,,"",2004-06-07,"10661","",2014-02-14,"20004",3,224.895847,4,1
"65377521010661","65377464010661",1999,19,1,5,20005,1,1,541,36,.0049,2,,"",2004-06-07,"10661","",2014-02-14,"20004",2,149.930565,4,1
"65377522010661","65377464010661",1999,19,1,5,20005,1,1,701,43,.0015,3,,"",2004-06-07,"10661","",2014-02-14,"20004",3,224.895847,4,1
"65377523010661","65377464010661",1999,19,1,5,20005,1,1,762,41,.0024,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65377524010661","65377464010661",1999,19,1,5,20005,1,1,951,38,.0004,6,,"",2004-06-07,"10661","",2014-02-14,"20004",6,449.791695,4,1
"65377525010661","65377464010661",1999,19,1,5,20005,2,1,541,36,.0024,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65377526010661","65377464010661",1999,19,1,5,20005,2,1,833,26,.0004,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65377527010661","65377464010661",1999,19,1,5,20005,3,1,391,43,.0024,5,,"",2004-06-07,"10661","",2014-02-14,"20004",5,374.826412,4,1
"65377528010661","65377464010661",1999,19,1,5,20005,3,1,544,36,.0001,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65377515010661","65377464010661",1999,19,1,5,20005,3,1,762,41,.0024,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65377516010661","65377464010661",1999,19,1,5,20005,3,1,975,41,.0003,2,,"",2004-06-07,"10661","",2014-02-14,"20004",2,149.930565,4,1
"65377517010661","65377464010661",1999,19,1,5,20005,4,1,544,36,.0001,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65377518010661","65377464010661",1999,19,1,5,20005,4,1,826,25,.0004,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65378597010661","65378571010661",1999,19,1,5,20030,2,1,975,41,.0004,3,,"",2004-06-07,"10661","",2014-02-14,"20004",3,224.895847,4,1
"65378598010661","65378571010661",1999,19,1,5,20030,3,1,975,41,.0001,1,,"",2004-06-07,"10661","",2014-02-14,"20004",1,74.965282,4,1
"65378599010661","65378571010661",1999,19,1,5,20030,4,1,701,43,.0015,3,,"",2004-06-07,"10661","",2014-02-14,"20004",3,224.895847,4,1
"65378600010661","65378571010661",1999,19,1,5,20030,4,1,762,41,.0049,2,,"",2004-06-07,"10661","",2014-02-14,"20004",2,149.930565,4,1
