"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"3156348010690","3156307010690",1991,16,1,9,13,3,1,321,48,.0002,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157950010690","3157898010690",1991,16,1,9,75,1,1,17,12,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157951010690","3157898010690",1991,16,1,9,75,1,1,93,18,.0014,,,"",2004-05-28,"10690","",,"",3,,1,0
"3157952010690","3157898010690",1991,16,1,9,75,1,1,119,15,.0003,,,"",2004-05-28,"10690","",,"",2,,1,0
"3157954010690","3157898010690",1991,16,1,9,75,1,1,242,22,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157956010690","3157898010690",1991,16,1,9,75,1,1,263,13,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157957010690","3157898010690",1991,16,1,9,75,2,1,17,12,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157958010690","3157898010690",1991,16,1,9,75,2,1,93,18,.0005,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157959010690","3157898010690",1991,16,1,9,75,2,1,119,15,.0007,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157960010690","3157898010690",1991,16,1,9,75,3,1,17,12,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157961010690","3157898010690",1991,16,1,9,75,3,1,119,15,.0002,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157962010690","3157898010690",1991,16,1,9,75,3,1,242,22,.0002,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157963010690","3157898010690",1991,16,1,9,75,3,1,263,13,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157964010690","3157898010690",1991,16,1,9,75,4,1,17,12,.0009,,,"",2004-05-28,"10690","",,"",6,,1,0
"3157966010690","3157898010690",1991,16,1,9,75,4,1,93,18,.0005,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157967010690","3157898010690",1991,16,1,9,75,4,1,108,21,.0002,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157968010690","3157898010690",1991,16,1,9,75,4,1,119,15,.0002,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157969010690","3157898010690",1991,16,1,9,75,4,1,202,10,.0004,,,"",2004-05-28,"10690","",,"",1,,1,0
"3157970010690","3157898010690",1991,16,1,9,75,4,1,242,22,.0008,,,"",2004-05-28,"10690","",,"",5,,1,0
