"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"66659578010661","66659562010661",2001,17,1,3,20049,1,1,403,29,.4625,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66659579010661","66659562010661",2001,17,1,3,20049,1,1,491,42,9.7196,25,,"",2004-06-07,"10661","",2014-10-31,"489998",25,1874.132061,5,1
"66659580010661","66659562010661",2001,17,1,3,20049,1,1,971,41,.4117,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66659691010661","66659674010661",2001,17,1,3,20201,3,2,313,41,.0001,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66659692010661","66659674010661",2001,17,1,3,20201,3,2,316,32,.0001,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66659693010661","66659674010661",2001,17,1,3,20201,3,2,975,41,.0001,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66674139010661","66674079010661",2001,17,1,55,20030,1,1,68,9,.0006,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66674143010661","66674079010661",2001,17,1,55,20030,1,1,462,41,.0002,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66674144010661","66674079010661",2001,17,1,55,20030,1,1,602,40,.001,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66674148010661","66674079010661",2001,17,1,55,20030,1,1,975,41,.0008,4,,"",2004-06-07,"10661","",2014-10-31,"489998",4,299.86113,5,1
"66674151010661","66674079010661",2001,17,1,55,20030,2,1,68,9,.0003,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66674154010661","66674079010661",2001,17,1,55,20030,2,1,462,41,.0002,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66674157010661","66674079010661",2001,17,1,55,20030,2,1,471,43,.0028,4,,"",2004-06-07,"10661","",2014-10-31,"489998",4,299.86113,5,1
"66674159010661","66674079010661",2001,17,1,55,20030,2,1,817,28,.0011,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
