"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"55077485010661","55077400010661",1999,18,1,21,20101,1,1,367,43,.0024,5,,"",2004-06-05,"10661","",2015-02-13,"489998",5,374.826412,5,1
"55077491010661","55077400010661",1999,18,1,21,20101,3,1,318,31,.0001,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55077496010661","55077400010661",1999,18,1,21,20101,3,1,541,36,.0024,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55077501010661","55077400010661",1999,18,1,21,20101,4,1,367,43,.0015,3,,"",2004-06-05,"10661","",2015-02-13,"489998",3,224.895847,5,1
"55075581010661","55075462010661",1999,18,1,21,20106,1,1,391,43,.003,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075567010661","55075462010661",1999,18,1,21,20106,1,1,402,29,.0024,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075570010661","55075462010661",1999,18,1,21,20106,1,1,701,43,.003,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075575010661","55075462010661",1999,18,1,21,20106,1,1,975,41,.0009,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075588010661","55075462010661",1999,18,1,21,20106,2,1,402,29,.0031,6,,"",2004-06-05,"10661","",2015-02-13,"489998",6,449.791695,5,1
"55075591010661","55075462010661",1999,18,1,21,20106,3,2,701,43,.002,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075594010661","55075462010661",1999,18,1,21,20106,4,1,318,31,.0021,11,,"",2004-06-05,"10661","",2015-02-13,"489998",11,824.618107,5,1
"55075598010661","55075462010661",1999,18,1,21,20106,4,1,402,29,.0005,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075603010661","55075462010661",1999,18,1,21,20106,4,1,491,42,.0007,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075605010661","55075462010661",1999,18,1,21,20106,4,1,531,33,.0002,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075610010661","55075462010661",1999,18,1,21,20106,4,1,762,41,.0033,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075619010661","55075462010661",1999,18,1,21,20106,4,1,826,25,.0016,3,,"",2004-06-05,"10661","",2015-02-13,"489998",3,224.895847,5,1
"55075625010661","55075462010661",1999,18,1,21,20106,4,1,931,41,.0005,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55075632010661","55075462010661",1999,18,1,21,20106,4,1,972,41,.0002,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076387010661","55076304010661",1999,18,1,21,20115,2,1,132,3,.0004,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076395010661","55076304010661",1999,18,1,21,20115,2,1,491,42,.0005,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076398010661","55076304010661",1999,18,1,21,20115,2,1,531,33,.0003,2,,"",2004-06-05,"10661","",2015-02-13,"489998",2,149.930565,5,1
"55076404010661","55076304010661",1999,18,1,21,20115,2,1,541,36,.0024,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076407010661","55076304010661",1999,18,1,21,20115,2,1,621,39,.0024,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076409010661","55076304010661",1999,18,1,21,20115,2,1,693,35,.0001,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076412010661","55076304010661",1999,18,1,21,20115,2,1,830,28,.0008,2,,"",2004-06-05,"10661","",2015-02-13,"489998",2,149.930565,5,1
"55076416010661","55076304010661",1999,18,1,21,20115,2,1,931,41,.0043,11,,"",2004-06-05,"10661","",2015-02-13,"489998",11,824.618107,5,1
"55076420010661","55076304010661",1999,18,1,21,20115,3,1,318,31,.0006,4,,"",2004-06-05,"10661","",2015-02-13,"489998",4,299.86113,5,1
"55076423010661","55076304010661",1999,18,1,21,20115,3,1,531,33,.0001,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076429010661","55076304010661",1999,18,1,21,20115,3,1,541,36,.0024,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076433010661","55076304010661",1999,18,1,21,20115,3,1,931,41,.0008,2,,"",2004-06-05,"10661","",2015-02-13,"489998",2,149.930565,5,1
"55076441010661","55076304010661",1999,18,1,21,20115,4,1,491,42,.0073,15,,"",2004-06-05,"10661","",2015-02-13,"489998",15,1124.479237,5,1
"55076444010661","55076304010661",1999,18,1,21,20115,4,1,531,33,.0001,1,,"",2004-06-05,"10661","",2015-02-13,"489998",1,74.965282,5,1
"55076451010661","55076304010661",1999,18,1,21,20115,4,1,693,35,.0006,7,,"",2004-06-05,"10661","",2015-02-13,"489998",7,524.756977,5,1
"55076458010661","55076304010661",1999,18,1,21,20115,4,1,802,25,.0008,2,,"",2004-06-05,"10661","",2015-02-13,"489998",2,149.930565,5,1
