"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"66801270010661","66801253010661",2001,20,1,13,20391,3,1,462,41,.0001,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66803009010661","66802995010661",2001,20,1,27,20324,3,1,462,41,.0006,4,,"",2004-06-07,"10661","",2014-10-31,"489998",4,299.86113,5,1
"66803010010661","66802995010661",2001,20,1,27,20324,3,1,602,40,.0051,7,,"",2004-06-07,"10661","",2014-10-31,"489998",7,524.756977,5,1
"66803183010661","66803166010661",2001,20,1,27,20377,4,2,462,41,.001,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66805188010661","66805172010661",2001,20,1,41,20429,1,1,68,9,.0003,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66805189010661","66805172010661",2001,20,1,41,20429,1,1,823,25,.0005,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66805190010661","66805172010661",2001,20,1,41,20429,1,1,972,41,.0008,4,,"",2004-06-07,"10661","",2014-10-31,"489998",4,299.86113,5,1
"66805191010661","66805172010661",2001,20,1,41,20429,3,1,682,42,.0013,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66805192010661","66805172010661",2001,20,1,41,20429,3,1,972,41,.0023,12,,"",2004-06-07,"10661","",2014-10-31,"489998",12,899.583389,5,1
"66793874010661","66793858010661",2001,20,1,43,20282,1,1,402,29,.2434,7,,"",2004-06-07,"10661","",2014-10-31,"489998",7,524.756977,5,1
"66793875010661","66793858010661",2001,20,1,43,20282,1,1,462,41,.0126,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66793876010661","66793858010661",2001,20,1,43,20282,1,1,837,28,.0348,1,,"",2004-06-07,"10661","",2014-10-31,"489998",1,74.965282,5,1
"66793877010661","66793858010661",2001,20,1,43,20282,1,1,975,41,.2769,22,,"",2004-06-07,"10661","",2014-10-31,"489998",22,1649.236214,5,1
"66793878010661","66793858010661",2001,20,1,43,20282,2,1,402,29,.0014,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66793879010661","66793858010661",2001,20,1,43,20282,2,1,975,41,.0005,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66793924010661","66793907010661",2001,20,1,43,20286,2,1,823,25,.8415,2,,"",2004-06-07,"10661","",2014-10-31,"489998",2,149.930565,5,1
"66793926010661","66793907010661",2001,20,1,43,20286,3,1,975,41,1.1238,3,,"",2004-06-07,"10661","",2014-10-31,"489998",3,224.895847,5,1
"66794137010661","66794120010661",2001,20,1,45,20238,1,1,313,41,35.3526,3,,"",2004-06-07,"10661","",2014-10-31,"489998",3,224.895847,5,1
"66794138010661","66794120010661",2001,20,1,45,20238,3,1,313,41,1.4088,5,,"",2004-06-07,"10661","",2014-10-31,"489998",5,374.826412,5,1
"66794139010661","66794120010661",2001,20,1,45,20238,3,1,462,41,1.6906,6,,"",2004-06-07,"10661","",2014-10-31,"489998",6,449.791695,5,1
