"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"226200544010854","70557083010478",2001,22,1,25,15,1,1,822,27,.001,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226200548010854","70557083010478",2001,22,1,25,15,3,1,500,43,.0524,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226200552010854","70557083010478",2001,22,1,25,15,4,1,500,43,.0005,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200518010854","70556973010478",2001,22,1,25,17,1,1,131,2,.0006,3,,"",2010-04-16,"10854","",2012-01-27,"20004",3,224.895847,7,1
"226200522010854","70556973010478",2001,22,1,25,17,1,1,316,32,.0005,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200530010854","70556973010478",2001,22,1,25,17,2,1,131,2,.0002,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200528010854","70556973010478",2001,22,1,25,17,2,1,316,32,.0005,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200529010854","70556973010478",2001,22,1,25,17,2,1,491,42,.0005,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200531010854","70556973010478",2001,22,1,25,17,2,1,611,34,.0001,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200532010854","70556973010478",2001,22,1,25,17,3,1,131,2,.0006,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200536010854","70556973010478",2001,22,1,25,17,3,1,621,39,.0076,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200533010854","70556973010478",2001,22,1,25,17,3,1,802,25,.0025,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226200541010854","70556973010478",2001,22,1,25,17,4,1,316,32,.0001,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200540010854","70556973010478",2001,22,1,25,17,4,1,391,43,.0001,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200537010854","70556973010478",2001,22,1,25,17,4,1,611,34,.0001,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226200496010854","70556878010478",2001,22,1,25,32,1,1,131,2,.406,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200498010854","70556878010478",2001,22,1,25,32,1,1,611,34,.6522,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226200505010854","70556878010478",2001,22,1,25,32,2,1,611,34,2.1741,4,,"",2010-04-16,"10854","",2012-01-27,"20004",4,299.86113,7,1
"226200509010854","70556878010478",2001,22,1,25,32,3,1,611,34,26.0886,4,,"",2010-04-16,"10854","",2012-01-27,"20004",4,299.86113,7,1
"226200513010854","70556878010478",2001,22,1,25,32,4,1,611,34,1.5346,4,,"",2010-04-16,"10854","",2012-01-27,"20004",4,299.86113,7,1
"226200919010854","70558520010478",2001,22,1,29,9,1,1,404,29,.3083,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200918010854","70558520010478",2001,22,1,29,9,1,1,461,41,.2745,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200920010854","70558520010478",2001,22,1,29,9,1,1,521,42,.6166,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226200921010854","70558520010478",2001,22,1,29,9,4,1,972,41,.2745,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226200922010854","29117051010478",2001,22,1,29,58,3,2,316,32,2.121,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226201198010854","70561194010478",2001,22,1,35,4,4,2,731,41,.0029,4,,"",2010-04-16,"10854","",2012-01-27,"20004",4,299.86113,7,1
"226201205010854","70561453010478",2001,22,1,35,9,3,1,544,36,.0003,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226201201010854","70561453010478",2001,22,1,35,9,3,1,971,41,.0005,2,,"",2010-04-16,"10854","",2012-01-27,"20004",2,149.930565,7,1
"226201389010854","70563535010478",2001,22,1,41,13,1,1,973,41,.9149,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
"226201390010854","70563535010478",2001,22,1,41,13,3,1,611,34,.0001,1,,"",2010-04-16,"10854","",2012-01-27,"20004",1,74.965282,7,1
