"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"55924308010538","55924287010538",2003,25,1,1,327,3,2,356,43,.0059,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
"55924310010538","55924287010538",2003,25,1,1,327,3,2,762,41,.0098,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924304010538","55924287010538",2003,25,1,1,327,3,2,802,25,.0047,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
"55924306010538","55924287010538",2003,25,1,1,327,3,2,806,28,.0047,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
"55924361010538","55924346010538",2003,25,1,1,1017,2,1,126,3,.1833,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924363010538","55924346010538",2003,25,1,1,1017,4,1,762,41,.29,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924184010538","55924167010538",2003,25,1,1,1064,1,1,126,3,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924186010538","55924167010538",2003,25,1,1,1064,1,1,802,25,.0008,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55924182010538","55924167010538",2003,25,1,1,1064,1,1,806,28,.002,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55924188010538","55924167010538",2003,25,1,1,1064,2,1,316,32,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924190010538","55924167010538",2003,25,1,1,1064,3,1,802,25,.0016,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55924192010538","55924167010538",2003,25,1,1,1064,3,1,806,28,.0012,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
"55924424010538","55924406010538",2003,25,1,3,38,1,1,315,43,.0003,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55924426010538","55924406010538",2003,25,1,3,38,1,1,318,31,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924422010538","55924406010538",2003,25,1,3,38,1,1,531,33,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55924428010538","55924406010538",2003,25,1,3,38,1,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924432010538","55924406010538",2003,25,1,3,38,2,1,315,43,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55924430010538","55924406010538",2003,25,1,3,38,2,1,318,31,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55924434010538","55924406010538",2003,25,1,3,38,2,1,531,33,.0003,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55924440010538","55924406010538",2003,25,1,3,38,3,1,315,43,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924438010538","55924406010538",2003,25,1,3,38,3,1,318,31,.0007,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55924436010538","55924406010538",2003,25,1,3,38,3,1,531,33,.0007,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55924442010538","55924406010538",2003,25,1,3,38,3,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924446010538","55924406010538",2003,25,1,3,38,4,1,315,43,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55924444010538","55924406010538",2003,25,1,3,38,4,1,531,33,.0009,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55924448010538","55924406010538",2003,25,1,3,38,4,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924696010538","55924670010538",2003,25,1,3,254,1,1,316,32,.0013,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55924694010538","55924670010538",2003,25,1,3,254,1,1,318,31,.0011,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55924692010538","55924670010538",2003,25,1,3,254,1,1,762,41,.0188,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55924698010538","55924670010538",2003,25,1,3,254,1,1,833,26,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924704010538","55924670010538",2003,25,1,3,254,2,1,316,32,.0006,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924702010538","55924670010538",2003,25,1,3,254,2,1,318,31,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55924700010538","55924670010538",2003,25,1,3,254,2,1,391,43,.0025,,,"",2005-09-08,"10538","",2015-05-11,"489998",4,299.86113,5,1
"55924708010538","55924670010538",2003,25,1,3,254,3,1,318,31,.0002,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55924706010538","55924670010538",2003,25,1,3,254,3,1,400,29,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55925297010538","55925279010538",2003,25,1,3,336,1,1,318,31,.0009,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55925295010538","55925279010538",2003,25,1,3,336,1,1,762,41,.0147,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55925299010538","55925279010538",2003,25,1,3,336,1,1,833,26,.002,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55925301010538","55925279010538",2003,25,1,3,336,1,1,999,43,.0029,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55925303010538","55925279010538",2003,25,1,3,336,2,1,763,43,.0029,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55925305010538","55925279010538",2003,25,1,3,336,2,1,833,26,.0008,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55925319010538","55925279010538",2003,25,1,3,336,3,1,129,4,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55925309010538","55925279010538",2003,25,1,3,336,3,1,316,32,.0029,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55925313010538","55925279010538",2003,25,1,3,336,3,1,318,31,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
"55925317010538","55925279010538",2003,25,1,3,336,3,1,371,30,.0003,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55925307010538","55925279010538",2003,25,1,3,336,3,1,541,36,.0147,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55925315010538","55925279010538",2003,25,1,3,336,3,1,762,41,.0073,,,"",2005-09-08,"10538","",2015-05-11,"489998",3,224.895847,5,1
