"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"65480535010538","59912146010538",2004,24,2,3,938,4,1,762,41,.0046,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480713010538","59912336010538",2004,24,2,5,379,1,1,762,41,.0049,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480717010538","59912336010538",2004,24,2,5,379,2,1,316,32,.0489,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480715010538","59912336010538",2004,24,2,5,379,2,1,541,36,.2442,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480753010538","59912376010538",2004,24,2,5,1159,1,1,531,33,.0004,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65480755010538","59912376010538",2004,24,2,5,1159,2,1,531,33,.0001,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480759010538","59912376010538",2004,24,2,5,1159,3,1,531,33,.0001,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480757010538","59912376010538",2004,24,2,5,1159,3,1,762,41,.0049,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65480761010538","59912376010538",2004,24,2,5,1159,4,1,356,43,.001,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65480763010538","59912376010538",2004,24,2,5,1159,4,1,391,43,.0005,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480765010538","59912376010538",2004,24,2,5,1159,4,1,802,25,.0004,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480923010538","59912548010538",2004,24,2,5,1633,1,1,491,42,.0059,6,,"",2007-01-29,"10538","",2015-05-11,"489998",6,449.791695,6,1
"65480919010538","59912548010538",2004,24,2,5,1633,1,1,693,35,.0012,7,,"",2007-01-29,"10538","",2015-05-11,"489998",7,524.756977,6,1
"65480921010538","59912548010538",2004,24,2,5,1633,1,1,762,41,.0049,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65480925010538","59912548010538",2004,24,2,5,1633,4,1,403,29,.0008,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65481420010538","59913093010538",2004,24,2,15,1484,1,1,313,41,.0003,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65481418010538","59913093010538",2004,24,2,15,1484,1,1,544,36,.0005,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65481300010538","59912960010538",2004,24,2,15,1739,1,1,531,33,.0001,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65481302010538","59912960010538",2004,24,2,15,1739,2,1,531,33,.0003,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65481312010538","59912960010538",2004,24,2,15,1739,4,1,403,29,.0001,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65481308010538","59912960010538",2004,24,2,15,1739,4,1,611,34,.0001,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65481304010538","59912960010538",2004,24,2,15,1739,4,1,693,35,.0001,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65481310010538","59912960010538",2004,24,2,15,1739,4,1,762,41,.0001,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65481306010538","59912960010538",2004,24,2,15,1739,4,1,931,41,.0001,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65482458010538","59914152010538",2004,24,2,21,12,3,2,763,43,.0039,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65483352010538","59915079010538",2004,24,2,25,323,1,1,541,36,.0098,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65483354010538","59915079010538",2004,24,2,25,323,3,1,531,33,.0003,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483433010538","59915162010538",2004,24,2,25,974,4,3,531,33,.0006,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483506010538","59915240010538",2004,24,2,25,1336,3,1,316,32,.002,4,,"",2007-01-29,"10538","",2015-05-11,"489998",4,299.86113,6,1
"65483508010538","59915240010538",2004,24,2,25,1336,3,1,693,35,.0002,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65483510010538","59915240010538",2004,24,2,25,1336,3,1,762,41,.0024,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483512010538","59915240010538",2004,24,2,25,1336,4,1,762,41,.0073,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65483656010538","59915392010538",2004,24,2,27,1750,1,1,391,43,.0001,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65483654010538","59915392010538",2004,24,2,27,1750,1,1,762,41,.0001,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65483658010538","59915392010538",2004,24,2,27,1750,4,1,403,29,.0005,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483740010538","59915476010538",2004,24,2,29,1067,1,1,931,41,.0006,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483742010538","59915476010538",2004,24,2,29,1067,4,1,901,42,.0012,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65483939010538","59915680010538",2004,24,2,31,422,1,1,531,33,.0001,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483937010538","59915680010538",2004,24,2,31,422,1,1,541,36,.0073,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65483943010538","59915680010538",2004,24,2,31,422,3,1,541,36,.0122,5,,"",2007-01-29,"10538","",2015-05-11,"489998",5,374.826412,6,1
"65483941010538","59915680010538",2004,24,2,31,422,3,1,693,35,.0005,6,,"",2007-01-29,"10538","",2015-05-11,"489998",6,449.791695,6,1
"65483947010538","59915680010538",2004,24,2,31,422,4,1,531,33,.0001,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483945010538","59915680010538",2004,24,2,31,422,4,1,762,41,.0024,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483831010538","59915574010538",2004,24,2,31,1224,1,1,762,41,.0033,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65483833010538","59915574010538",2004,24,2,31,1224,1,1,931,41,.0016,3,,"",2007-01-29,"10538","",2015-05-11,"489998",3,224.895847,6,1
"65483835010538","59915574010538",2004,24,2,31,1224,2,1,541,36,.0033,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65484034010538","59915777010538",2004,24,2,31,1403,2,2,471,43,.002,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65484032010538","59915777010538",2004,24,2,31,1403,2,2,541,36,.0098,1,,"",2007-01-29,"10538","",2015-05-11,"489998",1,74.965282,6,1
"65484030010538","59915777010538",2004,24,2,31,1403,2,2,762,41,.0195,2,,"",2007-01-29,"10538","",2015-05-11,"489998",2,149.930565,6,1
"65484325010538","59916084010538",2004,24,2,33,91,1,1,373,41,.0009,4,,"",2007-01-29,"10538","",2015-05-11,"489998",4,299.86113,6,1
