"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"2973953010690","2973907010690",1989,30,1,29,1,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2973954010690","2973907010690",1989,30,1,29,1,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2973955010690","2973907010690",1989,30,1,29,1,4,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2973956010690","2973907010690",1989,30,1,29,1,6,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2973957010690","2973907010690",1989,30,1,29,1,7,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2973970010690","2973958010690",1989,30,1,29,9,3,1,93,18,4.1061,,,"",2004-05-27,"10690","",,"",1,,1,0
"2973971010690","2973958010690",1989,30,1,29,9,4,1,19,12,16.4243,,,"",2004-05-27,"10690","",,"",6,,1,0
"2973972010690","2973958010690",1989,30,1,29,9,4,1,108,21,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2973973010690","2973958010690",1989,30,1,29,9,5,1,19,12,16.4243,,,"",2004-05-27,"10690","",,"",5,,1,0
"2973974010690","2973958010690",1989,30,1,29,9,6,1,19,12,4.1061,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974012010690","2973975010690",1989,30,1,29,10,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974013010690","2973975010690",1989,30,1,29,10,1,1,101,24,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974014010690","2973975010690",1989,30,1,29,10,2,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974015010690","2973975010690",1989,30,1,29,10,2,1,101,24,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2974016010690","2973975010690",1989,30,1,29,10,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974017010690","2973975010690",1989,30,1,29,10,4,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974018010690","2973975010690",1989,30,1,29,10,4,1,101,24,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974019010690","2973975010690",1989,30,1,29,10,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974020010690","2973975010690",1989,30,1,29,10,5,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974021010690","2973975010690",1989,30,1,29,10,6,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974022010690","2973975010690",1989,30,1,29,10,6,1,101,24,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974023010690","2973975010690",1989,30,1,29,10,7,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974024010690","2973975010690",1989,30,1,29,10,7,1,93,18,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2974025010690","2973975010690",1989,30,1,29,10,7,1,101,24,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974077010690","2974026010690",1989,30,1,29,11,3,1,108,21,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"2974078010690","2974026010690",1989,30,1,29,11,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974079010690","2974026010690",1989,30,1,29,11,5,1,108,21,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974080010690","2974026010690",1989,30,1,29,11,6,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974115010690","2974081010690",1989,30,1,29,12,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974161010690","2974119010690",1989,30,1,29,20,6,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974162010690","2974119010690",1989,30,1,29,20,7,1,19,12,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2974221010690","2974163010690",1989,30,1,29,21,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974222010690","2974163010690",1989,30,1,29,21,2,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974223010690","2974163010690",1989,30,1,29,21,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974224010690","2974163010690",1989,30,1,29,21,4,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974225010690","2974163010690",1989,30,1,29,21,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974226010690","2974163010690",1989,30,1,29,21,6,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974227010690","2974163010690",1989,30,1,29,21,7,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974228010690","2974163010690",1989,30,1,29,21,7,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974265010690","2974229010690",1989,30,1,29,22,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2974266010690","2974229010690",1989,30,1,29,22,2,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974267010690","2974229010690",1989,30,1,29,22,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2974268010690","2974229010690",1989,30,1,29,22,3,1,93,18,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"2974269010690","2974229010690",1989,30,1,29,22,4,1,19,12,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"2974270010690","2974229010690",1989,30,1,29,22,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974271010690","2974229010690",1989,30,1,29,22,6,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974272010690","2974229010690",1989,30,1,29,22,7,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974273010690","2974229010690",1989,30,1,29,22,7,1,93,18,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974318010690","2974274010690",1989,30,1,29,23,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974319010690","2974274010690",1989,30,1,29,23,1,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974320010690","2974274010690",1989,30,1,29,23,2,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974321010690","2974274010690",1989,30,1,29,23,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"2974322010690","2974274010690",1989,30,1,29,23,3,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974323010690","2974274010690",1989,30,1,29,23,4,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974324010690","2974274010690",1989,30,1,29,23,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2974325010690","2974274010690",1989,30,1,29,23,5,1,93,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974326010690","2974274010690",1989,30,1,29,23,6,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974327010690","2974274010690",1989,30,1,29,23,6,1,93,18,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974328010690","2974274010690",1989,30,1,29,23,7,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2974329010690","2974274010690",1989,30,1,29,23,7,1,93,18,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974361010690","2974330010690",1989,30,1,29,29,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2974362010690","2974330010690",1989,30,1,29,29,1,1,101,24,0,,,"",2004-05-27,"10690","",,"",1,,1,0
