"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"66835937010661","66835920010661",2001,38,1,5,20414,1,1,763,43,.0001,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66835938010661","66835920010661",2001,38,1,5,20414,1,1,823,25,.0001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66835939010661","66835920010661",2001,38,1,5,20414,2,1,544,36,.0005,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66835940010661","66835920010661",2001,38,1,5,20414,2,1,763,43,.0037,6,,"",2004-06-07,"10661","",2015-09-10,"489998",6,449.791695,4,1
"66835941010661","66835920010661",2001,38,1,5,20414,2,1,823,25,.001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66835942010661","66835920010661",2001,38,1,5,20414,3,1,544,36,.0014,8,,"",2004-06-07,"10661","",2015-09-10,"489998",8,599.72226,4,1
"66835943010661","66835920010661",2001,38,1,5,20414,3,1,763,43,.0037,6,,"",2004-06-07,"10661","",2015-09-10,"489998",6,449.791695,4,1
"66835944010661","66835920010661",2001,38,1,5,20414,3,1,823,25,.0005,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66835945010661","66835920010661",2001,38,1,5,20414,3,1,972,41,.0002,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66835946010661","66835920010661",2001,38,1,5,20414,4,1,500,43,.0005,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66835947010661","66835920010661",2001,38,1,5,20414,4,1,763,43,.0024,4,,"",2004-06-07,"10661","",2015-09-10,"489998",4,299.86113,4,1
"66836594010661","66836581010661",2001,38,1,7,22282,1,1,66,23,1.3724,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66836595010661","66836581010661",2001,38,1,7,22282,2,1,544,36,.4117,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66836596010661","66836581010661",2001,38,1,7,22282,2,1,763,43,1.7495,9,,"",2004-06-07,"10661","",2015-09-10,"489998",9,674.687542,4,1
"66836597010661","66836581010661",2001,38,1,7,22282,3,1,66,23,.0001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66836598010661","66836581010661",2001,38,1,7,22282,3,1,544,36,.0001,7,,"",2004-06-07,"10661","",2015-09-10,"489998",7,524.756977,4,1
"66836599010661","66836581010661",2001,38,1,7,22282,4,1,66,23,.0001,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66836720010661","66836705010661",2001,38,1,7,22300,3,1,763,43,56.8274,6,,"",2004-06-07,"10661","",2015-09-10,"489998",6,449.791695,4,1
"66836811010661","66836793010661",2001,38,1,9,20467,2,1,763,43,.0052,8,,"",2004-06-07,"10661","",2015-09-10,"489998",8,599.72226,4,1
"66836812010661","66836793010661",2001,38,1,9,20467,3,2,763,43,.0313,16,,"",2004-06-07,"10661","",2015-09-10,"489998",16,1199.444519,4,1
"66836813010661","66836793010661",2001,38,1,9,20467,4,1,763,43,.0013,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66836988010661","66836974010661",2001,38,1,9,20490,2,1,746,37,.003,4,,"",2004-06-07,"10661","",2015-09-10,"489998",4,299.86113,4,1
"66831585010661","66831568010661",2001,38,1,19,20418,1,1,763,43,.0231,32,,"",2004-06-07,"10661","",2015-09-10,"489998",32,2398.889038,4,1
"66831586010661","66831568010661",2001,38,1,19,20418,2,1,763,43,.0087,12,,"",2004-06-07,"10661","",2015-09-10,"489998",12,899.583389,4,1
"66831587010661","66831568010661",2001,38,1,19,20418,2,1,823,25,.0006,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66831588010661","66831568010661",2001,38,1,19,20418,3,1,763,43,.009,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66831589010661","66831568010661",2001,38,1,19,20418,3,1,823,25,.0024,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66831650010661","66831633010661",2001,38,1,19,20421,3,2,500,43,.0001,42,,"",2004-06-07,"10661","",2015-09-10,"489998",42,3148.541863,4,1
"66831712010661","66831697010661",2001,38,1,19,20434,1,1,544,36,.0001,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66831713010661","66831697010661",2001,38,1,19,20434,1,1,761,43,.0005,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66831714010661","66831697010661",2001,38,1,19,20434,2,1,746,37,.003,4,,"",2004-06-07,"10661","",2015-09-10,"489998",4,299.86113,4,1
"66831715010661","66831697010661",2001,38,1,19,20434,2,1,761,43,.001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66831716010661","66831697010661",2001,38,1,19,20434,3,1,544,36,.0003,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66831717010661","66831697010661",2001,38,1,19,20434,4,1,544,36,.0006,4,,"",2004-06-07,"10661","",2015-09-10,"489998",4,299.86113,4,1
"66831718010661","66831697010661",2001,38,1,19,20434,4,1,823,25,.0039,10,,"",2004-06-07,"10661","",2015-09-10,"489998",10,749.652825,4,1
"66832930010661","66832913010661",2001,38,1,25,22229,3,2,544,36,.0025,8,,"",2004-06-07,"10661","",2015-09-10,"489998",8,599.72226,4,1
"66832931010661","66832913010661",2001,38,1,25,22229,3,2,763,43,.0322,30,,"",2004-06-07,"10661","",2015-09-10,"489998",30,2248.958474,4,1
"66832932010661","66832913010661",2001,38,1,25,22229,4,2,544,36,.1405,9,,"",2004-06-07,"10661","",2015-09-10,"489998",9,674.687542,4,1
"66832933010661","66832913010661",2001,38,1,25,22229,4,2,763,43,.7502,14,,"",2004-06-07,"10661","",2015-09-10,"489998",14,1049.513954,4,1
"66832934010661","66832913010661",2001,38,1,25,22229,4,2,823,25,.0862,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66833362010661","66833344010661",2001,38,1,25,22372,1,1,746,37,.0001,17,,"",2004-06-07,"10661","",2015-09-10,"489998",17,1274.409802,4,1
"66833363010661","66833344010661",2001,38,1,25,22372,1,1,763,43,.0001,14,,"",2004-06-07,"10661","",2015-09-10,"489998",14,1049.513954,4,1
"66833364010661","66833344010661",2001,38,1,25,22372,2,1,746,37,.0001,17,,"",2004-06-07,"10661","",2015-09-10,"489998",17,1274.409802,4,1
"66833365010661","66833344010661",2001,38,1,25,22372,2,1,763,43,.0001,16,,"",2004-06-07,"10661","",2015-09-10,"489998",16,1199.444519,4,1
"66833366010661","66833344010661",2001,38,1,25,22372,3,2,763,43,.0508,26,,"",2004-06-07,"10661","",2015-09-10,"489998",26,1949.097344,4,1
"66834128010661","66834112010661",2001,38,1,29,22360,2,2,544,36,.0028,5,,"",2004-06-07,"10661","",2015-09-10,"489998",5,374.826412,4,1
"66834129010661","66834112010661",2001,38,1,29,22360,2,2,763,43,.002,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66834130010661","66834112010661",2001,38,1,29,22360,2,2,823,25,.0047,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66824101010661","66824082010661",2001,38,1,37,22324,1,1,544,36,.0018,9,,"",2004-06-07,"10661","",2015-09-10,"489998",9,674.687542,4,1
"66824102010661","66824082010661",2001,38,1,37,22324,1,1,763,43,.0021,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66824103010661","66824082010661",2001,38,1,37,22324,2,1,544,36,.0204,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66824104010661","66824082010661",2001,38,1,37,22324,3,1,544,36,.0039,19,,"",2004-06-07,"10661","",2015-09-10,"489998",19,1424.340367,4,1
"66824105010661","66824082010661",2001,38,1,37,22324,3,1,763,43,.0014,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66824268010661","66824253010661",2001,38,1,39,20207,1,1,544,36,.0003,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66824269010661","66824253010661",2001,38,1,39,20207,1,1,746,37,.0045,6,,"",2004-06-07,"10661","",2015-09-10,"489998",6,449.791695,4,1
"66824270010661","66824253010661",2001,38,1,39,20207,1,1,763,43,.0015,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66824271010661","66824253010661",2001,38,1,39,20207,4,1,746,37,.0119,16,,"",2004-06-07,"10661","",2015-09-10,"489998",16,1199.444519,4,1
"66826122010661","66826105010661",2001,38,1,49,20582,1,2,544,36,.0046,27,,"",2004-06-07,"10661","",2015-09-10,"489998",27,2024.062626,4,1
"66826123010661","66826105010661",2001,38,1,49,20582,1,2,972,41,.0002,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66826124010661","66826105010661",2001,38,1,49,20582,2,2,313,41,.0001,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66826125010661","66826105010661",2001,38,1,49,20582,2,2,972,41,.0001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66826126010661","66826105010661",2001,38,1,49,20582,3,2,544,36,.0001,4,,"",2004-06-07,"10661","",2015-09-10,"489998",4,299.86113,4,1
"66826127010661","66826105010661",2001,38,1,49,20582,3,2,972,41,.0001,5,,"",2004-06-07,"10661","",2015-09-10,"489998",5,374.826412,4,1
"66826295010661","66826278010661",2001,38,1,49,20609,1,1,746,37,.0001,8,,"",2004-06-07,"10661","",2015-09-10,"489998",8,599.72226,4,1
"66826296010661","66826278010661",2001,38,1,49,20609,2,1,746,37,25.1654,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66826297010661","66826278010661",2001,38,1,49,20609,3,1,746,37,.0001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66826885010661","66826868010661",2001,38,1,53,22205,3,2,763,43,.0192,20,,"",2004-06-07,"10661","",2015-09-10,"489998",20,1499.305649,4,1
"66827250010661","66827236010661",2001,38,1,53,22324,1,1,66,23,.3926,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66827251010661","66827236010661",2001,38,1,53,22324,1,1,544,36,3.0096,23,,"",2004-06-07,"10661","",2015-09-10,"489998",23,1724.201496,4,1
"66827252010661","66827236010661",2001,38,1,53,22324,1,1,763,43,.3707,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66827253010661","66827236010661",2001,38,1,53,22324,2,1,66,23,.2059,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66827254010661","66827236010661",2001,38,1,53,22324,2,1,544,36,1.6468,8,,"",2004-06-07,"10661","",2015-09-10,"489998",8,599.72226,4,1
"66827255010661","66827236010661",2001,38,1,53,22324,3,1,66,23,.6667,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66827256010661","66827236010661",2001,38,1,53,22324,3,1,544,36,29.3333,44,,"",2004-06-07,"10661","",2015-09-10,"489998",44,3298.472428,4,1
"66827257010661","66827236010661",2001,38,1,53,22324,4,1,544,36,4.9405,12,,"",2004-06-07,"10661","",2015-09-10,"489998",12,899.583389,4,1
"66827528010661","66827512010661",2001,38,1,53,22409,3,2,66,23,.0001,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66827529010661","66827512010661",2001,38,1,53,22409,3,2,763,43,.0001,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66827613010661","66827596010661",2001,38,1,53,22429,2,1,544,36,27.4474,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66828074010661","66828060010661",2001,38,1,55,22313,1,1,544,36,.0016,11,,"",2004-06-07,"10661","",2015-09-10,"489998",11,824.618107,4,1
"66828075010661","66828060010661",2001,38,1,55,22313,1,1,823,25,.0012,3,,"",2004-06-07,"10661","",2015-09-10,"489998",3,224.895847,4,1
"66828076010661","66828060010661",2001,38,1,55,22313,2,1,544,36,.0003,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66828077010661","66828060010661",2001,38,1,55,22313,2,1,763,43,.001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66828078010661","66828060010661",2001,38,1,55,22313,3,1,544,36,.057,8,,"",2004-06-07,"10661","",2015-09-10,"489998",8,599.72226,4,1
"66828079010661","66828060010661",2001,38,1,55,22313,4,1,544,36,.0046,32,,"",2004-06-07,"10661","",2015-09-10,"489998",32,2398.889038,4,1
"66828080010661","66828060010661",2001,38,1,55,22313,4,1,763,43,.001,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
"66828081010661","66828060010661",2001,38,1,55,22313,4,1,972,41,.0001,1,,"",2004-06-07,"10661","",2015-09-10,"489998",1,74.965282,4,1
"66828630010661","66828614010661",2001,38,1,57,22274,1,1,763,43,.0013,2,,"",2004-06-07,"10661","",2015-09-10,"489998",2,149.930565,4,1
