"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"3203451010690","3203427010690",1987,35,3,23,255,1,1,755,48,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3203454010690","3203427010690",1987,35,3,23,255,3,1,755,48,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3203968010690","3203925010690",1987,35,3,23,302,1,1,106,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3203970010690","3203925010690",1987,35,3,23,302,1,1,847,48,0,,,"",2004-05-28,"10690","",2009-08-14,"10690",2,,1,0
"3203972010690","3203925010690",1987,35,3,23,302,2,1,106,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3203973010690","3203925010690",1987,35,3,23,302,4,1,106,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"2557804010690","2557715010690",1999,35,1,1,15,1,1,106,23,.0003,,,"",2004-05-26,"10690","",,"",4,,2,0
"2557805010690","2557715010690",1999,35,1,1,15,1,1,122,11,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2557806010690","2557715010690",1999,35,1,1,15,3,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",3,,2,0
"2557807010690","2557715010690",1999,35,1,1,15,3,1,814,48,.0003,,,"",2004-05-26,"10690","",,"",6,,2,0
"2557808010690","2557715010690",1999,35,1,1,15,4,1,66,23,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2557809010690","2557715010690",1999,35,1,1,15,4,1,106,23,.0003,,,"",2004-05-26,"10690","",,"",5,,2,0
"2557951010690","2557912010690",1999,35,1,1,31,1,1,814,48,.0003,,,"",2004-05-26,"10690","",,"",6,,2,0
"2557952010690","2557912010690",1999,35,1,1,31,3,1,122,11,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2557953010690","2557912010690",1999,35,1,1,31,3,1,814,48,.0003,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558028010690","2557954010690",1999,35,1,1,32,1,1,106,23,.0003,,,"",2004-05-26,"10690","",,"",4,,2,0
"2558029010690","2557954010690",1999,35,1,1,32,2,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558030010690","2557954010690",1999,35,1,1,32,3,1,106,23,.0003,,,"",2004-05-26,"10690","",,"",5,,2,0
"2558031010690","2557954010690",1999,35,1,1,32,4,1,63,23,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558032010690","2557954010690",1999,35,1,1,32,4,1,69,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558033010690","2557954010690",1999,35,1,1,32,4,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558237010690","2558131010690",1999,35,1,1,47,1,1,814,48,.0001,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558238010690","2558131010690",1999,35,1,1,47,2,1,66,23,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558239010690","2558131010690",1999,35,1,1,47,2,1,814,48,.0001,,,"",2004-05-26,"10690","",,"",4,,2,0
"2558240010690","2558131010690",1999,35,1,1,47,2,1,902,48,.0001,,,"",2004-05-26,"10690","",,"",3,,2,0
"2558241010690","2558131010690",1999,35,1,1,47,3,1,66,23,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558242010690","2558131010690",1999,35,1,1,47,3,1,814,48,.0001,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558243010690","2558131010690",1999,35,1,1,47,4,1,814,48,.0001,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558420010690","2558390010690",1999,35,1,1,63,3,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558421010690","2558390010690",1999,35,1,1,63,4,1,69,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558422010690","2558390010690",1999,35,1,1,63,4,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558450010690","2558423010690",1999,35,1,1,64,3,1,69,23,.0003,,,"",2004-05-26,"10690","",,"",3,,2,0
"2558520010690","2558451010690",1999,35,1,1,65,2,1,106,23,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558521010690","2558451010690",1999,35,1,1,65,3,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558522010690","2558451010690",1999,35,1,1,65,4,1,814,48,.0001,,,"",2004-05-26,"10690","",,"",4,,2,0
"2558626010690","2558607010690",1999,35,1,1,80,2,2,106,23,.0003,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558700010690","2558629010690",1999,35,1,1,81,1,1,66,23,.0004,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558701010690","2558629010690",1999,35,1,1,81,1,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558702010690","2558629010690",1999,35,1,1,81,2,2,106,23,.0003,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558703010690","2558629010690",1999,35,1,1,81,2,2,814,48,.0012,,,"",2004-05-26,"10690","",,"",5,,2,0
"2558704010690","2558629010690",1999,35,1,1,81,4,1,66,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2558705010690","2558629010690",1999,35,1,1,81,4,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558706010690","2558629010690",1999,35,1,1,81,4,1,814,48,.0004,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558834010690","2558779010690",1999,35,1,1,94,2,1,106,23,.0001,,,"",2004-05-26,"10690","",,"",2,,2,0
"2558913010690","2558835010690",1999,35,1,1,95,1,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",3,,2,0
"2558914010690","2558835010690",1999,35,1,1,95,3,1,106,23,.0003,,,"",2004-05-26,"10690","",,"",4,,2,0
"2558915010690","2558835010690",1999,35,1,1,95,4,1,106,23,.0003,,,"",2004-05-26,"10690","",,"",6,,2,0
"2558916010690","2558835010690",1999,35,1,1,95,4,1,814,48,.0003,,,"",2004-05-26,"10690","",,"",6,,2,0
"2577170010690","2577110010690",1999,35,1,6,3,1,1,122,11,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2577171010690","2577110010690",1999,35,1,6,3,1,1,814,48,.0003,,,"",2004-05-26,"10690","",,"",6,,2,0
"2577172010690","2577110010690",1999,35,1,6,3,2,1,106,23,.0001,,,"",2004-05-26,"10690","",,"",1,,2,0
"2577225010690","2577173010690",1999,35,1,6,4,1,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",3,,2,0
"2577226010690","2577173010690",1999,35,1,6,4,3,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2577227010690","2577173010690",1999,35,1,6,4,3,1,122,11,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2577228010690","2577173010690",1999,35,1,6,4,4,1,106,23,.0002,,,"",2004-05-26,"10690","",,"",1,,2,0
"2577229010690","2577173010690",1999,35,1,6,4,4,1,122,11,.0002,,,"",2004-05-26,"10690","",,"",2,,2,0
"2577230010690","2577173010690",1999,35,1,6,4,4,1,814,48,.0004,,,"",2004-05-26,"10690","",,"",6,,2,0
