"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"3320615010690","3320575010690",1989,32,1,1,20,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",5,,1,0
"3322956010690","3322883010690",1989,32,1,1,136,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3323146010690","3323100010690",1989,32,1,1,147,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3323636010690","3323537010690",1989,32,1,1,164,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3323850010690","3323786010690",1989,32,1,1,173,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",5,,1,0
"3324226010690","3324180010690",1989,32,1,1,192,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3324314010690","3324280010690",1989,32,1,1,199,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3324370010690","3324326010690",1989,32,1,1,201,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3324584010690","3324557010690",1989,32,1,1,219,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3325075010690","3325030010690",1989,32,1,1,251,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3325164010690","3325118010690",1989,32,1,1,253,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3325584010690","3325559010690",1989,32,1,1,273,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3325757010690","3325723010690",1989,32,1,1,279,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3326157010690","3326135010690",1989,32,1,1,307,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3326294010690","3326261010690",1989,32,1,1,312,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3326670010690","3326631010690",1989,32,1,1,334,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3327567010690","3327550010690",1989,32,1,1,387,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3328298010690","3328280010690",1989,32,1,1,429,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3328829010690","3328801010690",1989,32,1,1,449,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3329279010690","3329229010690",1989,32,1,1,467,1,1,65,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3329280010690","3329229010690",1989,32,1,1,467,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3329334010690","3329287010690",1989,32,1,1,469,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3329785010690","3329735010690",1989,32,1,1,487,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3330162010690","3330119010690",1989,32,1,1,11008,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3330216010690","3330166010690",1989,32,1,1,11009,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3330269010690","3330248010690",1989,32,1,1,11016,1,1,65,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3330351010690","3330304010690",1989,32,1,1,11040,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3330521010690","3330479010690",1989,32,1,1,11068,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",5,,1,0
"3330638010690","3330619010690",1989,32,1,1,11097,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3330959010690","3330934010690",1989,32,1,1,11135,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3331039010690","3330992010690",1989,32,1,1,11153,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3331286010690","3331249010690",1989,32,1,1,11189,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3331307010690","3331288010690",1989,32,1,1,11190,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3331393010690","3331352010690",1989,32,1,1,11194,1,1,65,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3331611010690","3331565010690",1989,32,1,1,11218,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3331997010690","3331964010690",1989,32,1,1,11255,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3332048010690","3332037010690",1989,32,1,1,11278,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3332105010690","3332054010690",1989,32,1,1,11280,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3332221010690","3332165010690",1989,32,1,1,11286,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3332288010690","3332247010690",1989,32,1,1,11306,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3332432010690","3332418010690",1989,32,1,1,11338,1,1,65,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3332616010690","3332580010690",1989,32,1,1,11350,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3332738010690","3332703010690",1989,32,1,1,11375,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3332768010690","3332739010690",1989,32,1,1,11376,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3332804010690","3332789010690",1989,32,1,1,11381,1,1,475,48,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3332949010690","3332907010690",1989,32,1,1,11413,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3333055010690","3333022010690",1989,32,1,1,11442,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3333267010690","3333249010690",1989,32,1,1,11494,1,1,65,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3333268010690","3333249010690",1989,32,1,1,11494,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3333444010690","3333415010690",1989,32,1,1,11545,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3335793010690","3335764010690",1989,32,1,3,148,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3337046010690","3337018010690",1989,32,1,3,281,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3337410010690","3337351010690",1989,32,1,3,315,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",6,,1,0
"3337411010690","3337351010690",1989,32,1,3,315,3,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3337412010690","3337351010690",1989,32,1,3,315,4,1,133,23,0,,,"",2004-05-28,"10690","",,"",5,,1,0
"3337701010690","3337655010690",1989,32,1,3,349,1,1,133,23,0,,,"",2004-05-28,"10690","",,"",4,,1,0
"3337702010690","3337655010690",1989,32,1,3,349,2,1,133,23,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3337703010690","3337655010690",1989,32,1,3,349,3,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3337704010690","3337655010690",1989,32,1,3,349,4,1,133,23,0,,,"",2004-05-28,"10690","",,"",2,,1,0
"3337756010690","3337705010690",1989,32,1,3,350,3,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3337757010690","3337705010690",1989,32,1,3,350,4,1,133,23,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3337816010690","3337759010690",1989,32,1,3,351,1,1,15,12,0,,,"",2004-05-28,"10690","",,"",1,,1,0
"3337817010690","3337759010690",1989,32,1,3,351,2,1,15,12,0,,,"",2004-05-28,"10690","",,"",3,,1,0
"3337818010690","3337759010690",1989,32,1,3,351,2,1,102,24,0,,,"",2004-05-28,"10690","",,"",1,,1,0
