"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"203834693010854","162404419010854",1976,40,1,5,1,102,1,824,28,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834694010854","162404419010854",1976,40,1,5,1,102,1,835,27,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834695010854","162404419010854",1976,40,1,5,1,106,1,110,2,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834696010854","162404419010854",1976,40,1,5,1,106,1,835,27,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834697010854","162404425010854",1976,40,1,5,10,101,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834698010854","162404426010854",1976,40,1,5,11,103,1,68,9,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834699010854","162404426010854",1976,40,1,5,11,103,1,110,2,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834700010854","162404426010854",1976,40,1,5,11,105,1,824,28,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834701010854","162404428010854",1976,40,1,5,14,107,1,400,29,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834702010854","162404428010854",1976,40,1,5,14,109,1,500,43,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834703010854","162404428010854",1976,40,1,5,14,109,1,812,28,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834704010854","162404430010854",1976,40,1,5,16,102,1,812,28,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834705010854","162404430010854",1976,40,1,5,16,102,1,971,41,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834706010854","162404430010854",1976,40,1,5,16,103,1,693,35,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834707010854","162404430010854",1976,40,1,5,16,107,1,491,42,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834708010854","162404430010854",1976,40,1,5,16,110,1,693,35,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834709010854","162404430010854",1976,40,1,5,16,110,1,812,28,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834710010854","162404431010854",1976,40,1,5,18,102,1,68,9,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834711010854","162404431010854",1976,40,1,5,18,102,1,400,29,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834712010854","162404431010854",1976,40,1,5,18,103,1,400,29,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834713010854","162404431010854",1976,40,1,5,18,103,1,824,28,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834714010854","162404431010854",1976,40,1,5,18,105,1,824,28,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834715010854","162404431010854",1976,40,1,5,18,105,1,971,41,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834716010854","162404431010854",1976,40,1,5,18,106,1,835,27,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834717010854","162404431010854",1976,40,1,5,18,106,1,971,41,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834718010854","162404431010854",1976,40,1,5,18,107,1,824,28,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834719010854","162404431010854",1976,40,1,5,18,109,1,400,29,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834720010854","162404431010854",1976,40,1,5,18,109,1,471,43,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834721010854","162404431010854",1976,40,1,5,18,109,1,971,41,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834722010854","162404431010854",1976,40,1,5,18,110,1,500,43,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834723010854","162404431010854",1976,40,1,5,18,110,1,835,27,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834724010854","162404433010854",1976,40,1,5,20,110,1,824,28,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834725010854","162404440010854",1976,40,1,5,28,110,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834726010854","162404443010854",1976,40,1,5,33,107,1,971,41,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834727010854","162404448010854",1976,40,1,5,39,109,1,68,9,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834728010854","162404448010854",1976,40,1,5,39,109,1,491,42,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834729010854","162404448010854",1976,40,1,5,39,109,1,812,28,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834730010854","162404449010854",1976,40,1,5,40,106,1,541,36,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834731010854","162404454010854",1976,40,1,5,52,102,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834732010854","162404454010854",1976,40,1,5,52,103,1,404,29,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834733010854","162404454010854",1976,40,1,5,52,103,1,835,27,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834734010854","162404454010854",1976,40,1,5,52,104,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834735010854","162404454010854",1976,40,1,5,52,105,1,541,36,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834736010854","162404454010854",1976,40,1,5,52,105,1,971,41,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834737010854","162404454010854",1976,40,1,5,52,106,1,971,41,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834738010854","162404454010854",1976,40,1,5,52,107,1,920,43,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834739010854","162404454010854",1976,40,1,5,52,107,1,999,43,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834740010854","162404454010854",1976,40,1,5,52,109,1,404,29,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834741010854","162404454010854",1976,40,1,5,52,110,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834742010854","162404455010854",1976,40,1,5,55,107,1,835,27,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834743010854","162404456010854",1976,40,1,5,56,101,1,971,41,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834744010854","162404456010854",1976,40,1,5,56,106,1,835,27,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834745010854","162404456010854",1976,40,1,5,56,106,1,971,41,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834746010854","162404457010854",1976,40,1,5,57,110,1,68,9,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834747010854","162404457010854",1976,40,1,5,57,110,1,971,41,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834748010854","162404458010854",1976,40,1,5,58,102,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834749010854","162404458010854",1976,40,1,5,58,103,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834750010854","162404458010854",1976,40,1,5,58,104,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834751010854","162404458010854",1976,40,1,5,58,105,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834752010854","162404458010854",1976,40,1,5,58,107,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834753010854","162404458010854",1976,40,1,5,58,109,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834754010854","162404458010854",1976,40,1,5,58,110,1,835,27,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834755010854","162404459010854",1976,40,1,5,65,105,1,552,42,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834756010854","162404460010854",1976,40,1,5,69,105,1,373,41,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834757010854","162404463010854",1976,40,1,5,78,107,1,835,27,0,1,,"",2010-01-13,"10854","",,"",1,99.954,4,0
"203834758010854","162404463010854",1976,40,1,5,78,110,1,971,41,0,3,,"",2010-01-13,"10854","",,"",3,299.862,4,0
"203834759010854","162404465010854",1976,40,1,5,90,107,1,971,41,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834760010854","162404472010854",1976,40,1,13,2,110,1,400,29,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834761010854","162404472010854",1976,40,1,13,2,110,1,971,41,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
"203834762010854","162404474010854",1976,40,1,13,9,102,1,975,41,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834763010854","162404475010854",1976,40,1,13,21,104,1,971,41,0,4,,"",2010-01-13,"10854","",,"",4,399.816,4,0
"203834764010854","162404475010854",1976,40,1,13,21,107,1,521,42,0,2,,"",2010-01-13,"10854","",,"",2,199.908,4,0
