"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"55942545010538","55942529010538",2003,44,1,3,58,1,1,129,4,.0025,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55942547010538","55942529010538",2003,44,1,3,58,2,1,129,4,.0025,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55942549010538","55942529010538",2003,44,1,3,58,4,1,129,4,.0025,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55942553010538","55942529010538",2003,44,1,3,58,4,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942551010538","55942529010538",2003,44,1,3,58,4,1,802,25,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942478010538","55942460010538",2003,44,1,3,144,3,2,972,41,.0003,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942480010538","55942460010538",2003,44,1,3,144,4,2,391,43,.0049,,,"",2005-09-08,"10538","",2015-05-11,"489998",5,374.826412,5,1
"55942369010538","55942351010538",2003,44,1,3,190,1,1,129,4,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942367010538","55942351010538",2003,44,1,3,190,1,1,931,41,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942377010538","55942351010538",2003,44,1,3,190,2,1,129,4,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942373010538","55942351010538",2003,44,1,3,190,2,1,316,32,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942375010538","55942351010538",2003,44,1,3,190,2,1,372,42,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942371010538","55942351010538",2003,44,1,3,190,2,1,762,41,.0049,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55942379010538","55942351010538",2003,44,1,3,190,3,1,802,25,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942383010538","55942351010538",2003,44,1,3,190,4,1,316,32,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942385010538","55942351010538",2003,44,1,3,190,4,1,802,25,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942381010538","55942351010538",2003,44,1,3,190,4,1,931,41,.0004,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942658010538","55942642010538",2003,44,1,5,112,1,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942660010538","55942642010538",2003,44,1,5,112,2,1,371,30,.0009,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55942664010538","55942642010538",2003,44,1,5,112,3,1,316,32,.0244,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942666010538","55942642010538",2003,44,1,5,112,3,1,391,43,.0489,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55942668010538","55942642010538",2003,44,1,5,112,3,1,591,42,.0489,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55942662010538","55942642010538",2003,44,1,5,112,3,1,693,35,.0043,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942751010538","55942736010538",2003,44,1,5,204,2,1,371,30,.0001,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
"55942753010538","55942736010538",2003,44,1,5,204,3,1,371,30,.0003,,,"",2005-09-08,"10538","",2015-05-11,"489998",2,149.930565,5,1
"55942755010538","55942736010538",2003,44,1,5,204,4,1,544,36,.0009,,,"",2005-09-08,"10538","",2015-05-11,"489998",6,449.791695,5,1
"55943343010538","55943328010538",2003,44,1,7,7,2,1,316,32,.0005,,,"",2005-09-08,"10538","",2015-05-11,"489998",1,74.965282,5,1
