"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"66741000010661","66740950010661",2001,46,1,15,20389,1,1,66,23,10.2928,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66741003010661","66740950010661",2001,46,1,15,20389,3,1,66,23,1.1028,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66712527010661","66712470010661",2001,46,1,31,21040,1,1,763,43,.0078,12,,"",2004-06-07,"10661","",2014-10-30,"489998",12,899.583389,5,1
"66712530010661","66712470010661",2001,46,1,31,21040,1,1,823,25,.0026,5,,"",2004-06-07,"10661","",2014-10-30,"489998",5,374.826412,5,1
"66712534010661","66712470010661",2001,46,1,31,21040,2,1,544,36,.0009,5,,"",2004-06-07,"10661","",2014-10-30,"489998",5,374.826412,5,1
"66712538010661","66712470010661",2001,46,1,31,21040,2,1,763,43,.002,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66712539010661","66712470010661",2001,46,1,31,21040,4,1,544,36,.0015,8,,"",2004-06-07,"10661","",2014-10-30,"489998",8,599.72226,5,1
"66712541010661","66712470010661",2001,46,1,31,21040,4,1,763,43,.013,20,,"",2004-06-07,"10661","",2014-10-30,"489998",20,1499.305649,5,1
"66690496010661","66690449010661",2001,46,1,53,20469,2,1,66,23,.2059,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66690501010661","66690449010661",2001,46,1,53,20469,4,1,66,23,.4117,2,,"",2004-06-07,"10661","",2014-10-30,"489998",2,149.930565,5,1
"66701140010661","66701081010661",2001,46,1,71,20837,1,1,66,23,.0095,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66701142010661","66701081010661",2001,46,1,71,20837,1,1,122,9,.0025,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66701144010661","66701081010661",2001,46,1,71,20837,2,1,68,9,.0003,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66672687010661","66672607010661",2001,46,1,91,20417,4,1,701,43,.0059,12,,"",2004-06-07,"10661","",2014-10-30,"489998",12,899.583389,5,1
"66717503010661","66717436010661",2001,46,2,33,20241,1,1,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66717507010661","66717436010661",2001,46,2,33,20241,4,1,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
