"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"2849905010690","2849860010690",1993,49,1,3,5,1,1,133,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2849906010690","2849860010690",1993,49,1,3,5,3,1,133,23,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2849907010690","2849860010690",1993,49,1,3,5,4,1,133,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2850054010690","2850033010690",1993,49,1,3,32,1,1,19,12,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"2850055010690","2850033010690",1993,49,1,3,32,2,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2850056010690","2850033010690",1993,49,1,3,32,2,1,746,44,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"2850057010690","2850033010690",1993,49,1,3,32,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2850058010690","2850033010690",1993,49,1,3,32,3,1,746,44,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850059010690","2850033010690",1993,49,1,3,32,4,1,746,44,5.7485,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850060010690","2850033010690",1993,49,1,3,32,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850109010690","2850076010690",1993,49,1,3,38,3,1,133,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"2850110010690","2850076010690",1993,49,1,3,38,4,1,133,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850135010690","2850123010690",1993,49,1,3,43,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2850193010690","2850178010690",1993,49,1,3,58,2,1,322,48,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2850194010690","2850178010690",1993,49,1,3,58,3,1,322,48,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"2850195010690","2850178010690",1993,49,1,3,58,4,1,322,48,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2850327010690","2850301010690",1993,49,1,3,75,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850406010690","2850391010690",1993,49,1,3,97,4,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2850451010690","2850428010690",1993,49,1,3,105,4,1,133,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850596010690","2850561010690",1993,49,1,3,131,4,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850707010690","2850672010690",1993,49,1,3,157,2,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850772010690","2850728010690",1993,49,1,3,159,2,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850773010690","2850728010690",1993,49,1,3,159,4,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2850791010690","2850774010690",1993,49,1,3,160,3,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851061010690","2851039010690",1993,49,1,3,223,4,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2851195010690","2851169010690",1993,49,1,3,254,4,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851221010690","2851202010690",1993,49,1,3,257,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851398010690","2851370010690",1993,49,1,3,292,3,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851559010690","2851537010690",1993,49,1,3,324,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851597010690","2851573010690",1993,49,1,3,328,3,1,133,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851617010690","2851598010690",1993,49,1,3,329,4,1,133,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"2851796010690","2851780010690",1993,49,1,3,384,3,1,322,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2851910010690","2851821010690",1993,49,1,3,393,1,1,322,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2851911010690","2851821010690",1993,49,1,3,393,2,1,322,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2851912010690","2851821010690",1993,49,1,3,393,3,1,322,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2851913010690","2851821010690",1993,49,1,3,393,4,1,322,48,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"2852091010690","2852039010690",1993,49,1,3,429,1,1,322,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2852092010690","2852039010690",1993,49,1,3,429,1,1,814,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2852093010690","2852039010690",1993,49,1,3,429,2,1,814,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2852094010690","2852039010690",1993,49,1,3,429,3,1,814,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2852095010690","2852039010690",1993,49,1,3,429,4,1,322,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"2852096010690","2852039010690",1993,49,1,3,429,4,1,814,48,0,,,"",2004-05-27,"10690","",,"",6,,1,0
