"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"55949671010538","55949653010538",2003,50,2,5,122,2,1,129,4,.0004,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949669010538","55949653010538",2003,50,2,5,122,2,1,541,36,.0024,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949673010538","55949653010538",2003,50,2,5,122,4,1,541,36,.0024,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949348010538","55949318010538",2003,50,2,5,219,1,1,97,6,.0008,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949344010538","55949318010538",2003,50,2,5,219,1,1,261,7,.0001,,,"",2005-09-08,"10538","",2015-05-12,"489998",2,149.930565,6,1
"55949342010538","55949318010538",2003,50,2,5,219,1,1,318,31,.0017,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949346010538","55949318010538",2003,50,2,5,219,1,1,531,33,.0003,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949340010538","55949318010538",2003,50,2,5,219,1,1,541,36,.0281,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949352010538","55949318010538",2003,50,2,5,219,2,1,12,6,.0041,,,"",2005-09-08,"10538","",2015-05-12,"489998",5,374.826412,6,1
"55949350010538","55949318010538",2003,50,2,5,219,2,1,261,7,.0004,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949354010538","55949318010538",2003,50,2,5,219,2,1,531,33,.0003,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949562010538","55949546010538",2003,50,2,5,264,2,1,315,43,.0004,,,"",2005-09-08,"10538","",2015-05-12,"489998",3,224.895847,6,1
"55949570010538","55949546010538",2003,50,2,5,264,2,1,318,31,.0009,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949564010538","55949546010538",2003,50,2,5,264,2,1,319,43,.001,,,"",2005-09-08,"10538","",2015-05-12,"489998",2,149.930565,6,1
"55949566010538","55949546010538",2003,50,2,5,264,2,1,746,37,.0007,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949568010538","55949546010538",2003,50,2,5,264,2,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949582010538","55949546010538",2003,50,2,5,264,3,1,12,6,.0004,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949576010538","55949546010538",2003,50,2,5,264,3,1,315,43,.0001,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949574010538","55949546010538",2003,50,2,5,264,3,1,316,32,.0005,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949578010538","55949546010538",2003,50,2,5,264,3,1,318,31,.0001,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949572010538","55949546010538",2003,50,2,5,264,3,1,541,36,.0073,,,"",2005-09-08,"10538","",2015-05-12,"489998",3,224.895847,6,1
"55949580010538","55949546010538",2003,50,2,5,264,3,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949584010538","55949546010538",2003,50,2,5,264,4,1,318,31,.0004,,,"",2005-09-08,"10538","",2015-05-12,"489998",3,224.895847,6,1
"55949588010538","55949546010538",2003,50,2,5,264,4,1,541,36,.0049,,,"",2005-09-08,"10538","",2015-05-12,"489998",2,149.930565,6,1
"55949586010538","55949546010538",2003,50,2,5,264,4,1,762,41,.0024,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949045010538","55949027010538",2003,50,2,5,972,1,1,318,31,.0011,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949047010538","55949027010538",2003,50,2,5,972,2,1,318,31,.0011,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949049010538","55949027010538",2003,50,2,5,972,2,1,375,41,.001,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949051010538","55949027010538",2003,50,2,5,972,2,1,701,43,.0033,,,"",2005-09-08,"10538","",2015-05-12,"489998",5,374.826412,6,1
"55949053010538","55949027010538",2003,50,2,5,972,3,1,318,31,.0011,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949940010538","55949922010538",2003,50,2,5,988,1,1,12,6,.8463,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949938010538","55949922010538",2003,50,2,5,988,1,1,316,32,1.1663,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
"55949942010538","55949922010538",2003,50,2,5,988,1,1,375,41,.7976,,,"",2005-09-08,"10538","",2015-05-12,"489998",4,299.86113,6,1
"55949946010538","55949922010538",2003,50,2,5,988,1,1,541,36,.203,,,"",2005-09-08,"10538","",2015-05-12,"489998",1,74.965282,6,1
"55949944010538","55949922010538",2003,50,2,5,988,1,1,701,43,.3888,,,"",2005-09-08,"10538","",2015-05-12,"489998",2,149.930565,6,1
"55949948010538","55949922010538",2003,50,2,5,988,3,1,316,32,4.486,,,"",2005-09-08,"10538","",2015-05-12,"489998",6,449.791695,6,1
