"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"164700186020004","22050",2001,53,5,33,51,2,1,202,10,19.6159,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.772994,0,
"164700187020004","22058",2001,53,5,33,67,2,1,747,44,8.6022,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700188020004","22063",2001,53,5,33,79,1,1,202,10,.0089,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700189020004","22091",2001,53,5,33,134,1,1,263,13,8.8108,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700190020004","22091",2001,53,5,33,134,3,1,202,10,24.3546,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700191020004","22096",2001,53,5,33,141,3,1,263,13,.0032,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700192020004","22107",2001,53,5,33,160,1,1,11,12,6.0387,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,158.248001,0,
"164700193020004","22107",2001,53,5,33,160,2,1,11,12,7.2118,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,158.248001,0,
"164700194020004","22108",2001,53,5,33,161,2,1,263,13,.002,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700195020004","22126",2001,53,5,33,195,3,1,202,10,3.131,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700196020004","22160",2001,53,5,33,233,1,1,202,10,5.1947,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700197020004","22170",2001,53,5,33,243,1,1,11,12,6.1406,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700737020004","26312",2001,53,5,33,2001,1,1,263,13,.0038,,,"",2012-12-17,"20004","",,"",1,200,0,
"164700738020004","26312",2001,53,5,33,2001,3,1,263,13,.0003,,,"",2012-12-17,"20004","",,"",1,20,0,
"164700739020004","26312",2001,53,5,33,2001,5,1,263,13,.0027,,,"",2012-12-17,"20004","",,"",1,140,0,
"164700743020004","26316",2001,53,5,33,2003,1,1,11,12,.0052,,,"",2012-12-17,"20004","",,"",1,266.666992,0,
"164700744020004","26316",2001,53,5,33,2003,1,1,202,10,.0174,,,"",2012-12-17,"20004","",,"",1,333.333007,0,
"164700745020004","26316",2001,53,5,33,2003,1,1,242,22,.0019,,,"",2012-12-17,"20004","",,"",1,100,0,
"164700746020004","26316",2001,53,5,33,2003,1,1,263,13,.0063,,,"",2012-12-17,"20004","",,"",1,333.333007,0,
"164700749020004","26316",2001,53,5,33,2003,3,3,11,12,.0193,,,"",2012-12-17,"20004","",,"",1,1000,0,
"164700750020004","26316",2001,53,5,33,2003,3,3,202,10,.0155,,,"",2012-12-17,"20004","",,"",1,300,0,
"164700751020004","26316",2001,53,5,33,2003,3,3,263,13,.0193,,,"",2012-12-17,"20004","",,"",1,1000,0,
"164700747020004","26316",2001,53,5,33,2003,5,1,11,12,.0006,,,"",2012-12-17,"20004","",,"",1,33.333,0,
"164700748020004","26316",2001,53,5,33,2003,5,1,263,13,.0063,,,"",2012-12-17,"20004","",,"",1,333.333007,0,
"164700740020004","26315",2001,53,5,33,51958,2,1,202,10,.0082,,,"",2012-12-17,"20004","",,"",1,160,0,
"164700741020004","26315",2001,53,5,33,51958,4,1,263,13,.0015,,,"",2012-12-17,"20004","",,"",1,80,0,
"164700742020004","26315",2001,53,5,33,51958,5,1,263,13,.0007,,,"",2012-12-17,"20004","",,"",1,40,0,
"164700752020004","26318",2001,53,5,33,66589,3,1,263,13,.0003,,,"",2012-12-17,"20004","",,"",1,20,0,
"164700753020004","26318",2001,53,5,33,66589,5,1,263,13,.0003,,,"",2012-12-17,"20004","",,"",1,20,0,
"164700198020004","22303",2001,53,5,35,5,3,1,242,22,6.595,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700265020004","22964",2001,53,5,53,53,1,1,263,13,.0032,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700266020004","22964",2001,53,5,53,53,2,1,263,13,.0032,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700267020004","22969",2001,53,5,53,58,2,1,351,45,.0308,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700268020004","22991",2001,53,5,53,103,1,1,242,22,17.617,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700269020004","22995",2001,53,5,53,119,1,1,98,17,16.6667,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700270020004","22995",2001,53,5,53,119,1,1,263,13,16.6667,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,157.720993,0,
"164700271020004","23004",2001,53,5,53,137,3,1,11,12,10.2996,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,159.152999,0,
"164700272020004","23004",2001,53,5,53,137,3,1,263,13,10.2996,,,"",2012-12-17,"20004","",2012-12-26,"20004",1,159.152999,0,
