"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"3039190010690","3039175010690",1984,56,1,13,139,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3039585010690","3039532010690",1984,56,1,13,164,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3039586010690","3039532010690",1984,56,1,13,164,1,1,113,24,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"3039743010690","3039693010690",1984,56,1,13,170,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3040386010690","3040334010690",1984,56,1,13,208,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3040438010690","3040388010690",1984,56,1,13,209,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3044284010690","3044249010690",1984,56,1,13,443,4,1,920,47,0,,,"",2004-05-27,"10690","",2009-11-09,"10690",6,,1,0
"3047294010690","3047238010690",1984,56,1,13,628,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3048497010690","3048473010690",1984,56,1,13,718,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"3050208010690","3050192010690",1984,56,1,13,837,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3052670010690","3052616010690",1984,56,1,13,10974,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"3052671010690","3052616010690",1984,56,1,13,10974,1,1,113,24,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3052705010690","3052672010690",1984,56,1,13,10975,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3052706010690","3052672010690",1984,56,1,13,10975,1,1,113,24,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3058306010690","3058273010690",1984,56,1,17,34,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3059330010690","3059284010690",1984,56,1,17,120,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3059713010690","3059682010690",1984,56,1,17,144,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3060324010690","3060276010690",1984,56,1,17,201,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"3070074010690","3070056010690",1984,56,1,23,157,1,1,202,10,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3092731010690","3092668010690",1984,56,1,29,684,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3092732010690","3092668010690",1984,56,1,29,684,1,1,113,24,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3101313010690","3101279010690",1984,56,1,37,813,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3101879010690","3101838010690",1984,56,1,37,949,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3102126010690","3102110010690",1984,56,1,37,1023,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3102787010690","3102734010690",1984,56,1,41,1,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"3102874010690","3102857010690",1984,56,1,41,6,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"3102963010690","3102945010690",1984,56,1,41,18,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3103815010690","3103798010690",1984,56,1,41,99,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3103894010690","3103858010690",1984,56,1,41,106,1,1,65,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3104793010690","3104740010690",1984,56,1,41,186,1,1,96,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3104794010690","3104740010690",1984,56,1,41,186,5,1,96,18,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3104840010690","3104813010690",1984,56,1,41,188,2,1,746,44,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3104841010690","3104813010690",1984,56,1,41,188,4,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105098010690","3105071010690",1984,56,1,41,202,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105099010690","3105071010690",1984,56,1,41,202,4,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105100010690","3105071010690",1984,56,1,41,202,4,1,746,44,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105101010690","3105071010690",1984,56,1,41,202,5,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105135010690","3105102010690",1984,56,1,41,203,2,1,19,12,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105136010690","3105102010690",1984,56,1,41,203,2,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105137010690","3105102010690",1984,56,1,41,203,3,1,19,12,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105138010690","3105102010690",1984,56,1,41,203,3,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105214010690","3105196010690",1984,56,1,41,205,1,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105215010690","3105196010690",1984,56,1,41,205,3,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105216010690","3105196010690",1984,56,1,41,205,4,1,108,21,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105217010690","3105196010690",1984,56,1,41,205,5,1,746,44,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105280010690","3105241010690",1984,56,1,41,12012,1,1,202,10,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105281010690","3105241010690",1984,56,1,41,12012,1,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105282010690","3105241010690",1984,56,1,41,12012,2,1,202,10,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105283010690","3105241010690",1984,56,1,41,12012,4,1,202,10,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105284010690","3105241010690",1984,56,1,41,12012,4,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105329010690","3105285010690",1984,56,1,41,12016,1,1,96,18,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105331010690","3105285010690",1984,56,1,41,12016,1,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105332010690","3105285010690",1984,56,1,41,12016,2,1,108,21,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3105333010690","3105285010690",1984,56,1,41,12016,3,1,108,21,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105334010690","3105285010690",1984,56,1,41,12016,3,1,746,44,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105336010690","3105285010690",1984,56,1,41,12016,4,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105337010690","3105285010690",1984,56,1,41,12016,5,1,746,44,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105375010690","3105338010690",1984,56,1,41,12017,1,1,746,44,0,,,"",2004-05-27,"10690","",,"",1,,1,0
"3105376010690","3105338010690",1984,56,1,41,12017,2,1,746,44,0,,,"",2004-05-27,"10690","",,"",4,,1,0
"3105377010690","3105338010690",1984,56,1,41,12017,3,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105378010690","3105338010690",1984,56,1,41,12017,4,1,108,21,0,,,"",2004-05-27,"10690","",,"",5,,1,0
"3105379010690","3105338010690",1984,56,1,41,12017,5,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105411010690","3105380010690",1984,56,1,41,12018,1,1,108,21,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105412010690","3105380010690",1984,56,1,41,12018,1,1,746,44,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"3105413010690","3105380010690",1984,56,1,41,12018,3,1,108,21,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105414010690","3105380010690",1984,56,1,41,12018,3,1,746,44,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3105415010690","3105380010690",1984,56,1,41,12018,4,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105416010690","3105380010690",1984,56,1,41,12018,5,1,108,21,0,,,"",2004-05-27,"10690","",,"",3,,1,0
"3105417010690","3105380010690",1984,56,1,41,12018,5,1,746,44,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3105453010690","3105418010690",1984,56,1,41,12019,1,1,746,44,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3001577010690","3001554010690",1984,56,2,1,46,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",2,,1,0
"3007308010690","3007244010690",1984,56,2,3,20,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
"3007502010690","3007472010690",1984,56,2,3,33,1,1,66,23,0,,,"",2004-05-27,"10690","",,"",6,,1,0
